,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,absences,alcohol,grade
222,M,18,U,LE3,T,2,1,course,mother,4,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,2,14,9,27
223,F,17,U,GT3,A,2,1,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,10,3,34
224,F,17,U,LE3,T,4,3,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,14,3,40
225,M,17,R,GT3,T,2,2,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,4,2,33
226,M,17,U,GT3,T,4,4,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,14,4,29
227,M,16,U,GT3,T,4,4,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,4,2,6,40
228,M,16,U,LE3,T,1,1,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,2,18,2,22
229,M,16,U,GT3,T,3,2,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,10,4,30
230,M,17,U,LE3,T,2,2,home,father,1,2,0,no,no,yes,yes,no,yes,yes,yes,4,4,2,4,10,40
231,F,16,U,GT3,T,2,1,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,2,20,2,37
232,F,17,R,GT3,T,2,1,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,2,1,1,2,2,35
233,M,18,U,GT3,T,2,2,reputation,father,1,2,1,no,no,no,no,yes,no,yes,no,5,5,4,0,8,14
234,M,17,U,LE3,T,4,3,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,14,5,36
235,M,17,R,LE3,A,4,4,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,2,5,33
236,M,16,U,LE3,T,4,3,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,4,5,0,2,6
237,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,2,0,3,37
238,F,18,U,GT3,T,2,1,course,other,2,3,0,no,yes,yes,no,no,yes,yes,yes,4,4,4,0,2,7
239,M,16,U,GT3,T,2,1,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,6,2,54
240,M,17,U,GT3,T,2,3,course,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,4,2,37
241,M,18,R,LE3,T,3,3,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,8,4,13
242,M,16,U,GT3,T,0,2,other,mother,1,1,0,no,no,yes,no,no,yes,yes,no,4,3,2,0,6,43
243,M,18,U,GT3,T,3,2,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,4,4,5,0,6,22
244,M,16,U,GT3,T,3,3,reputation,other,3,2,0,yes,yes,no,no,no,yes,yes,no,5,3,3,6,4,27
245,M,18,U,GT3,T,2,1,other,mother,1,1,1,no,no,no,no,no,no,yes,no,3,2,5,4,7,23
246,M,16,R,GT3,T,2,1,course,mother,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,0,4,25
247,M,17,R,GT3,T,2,1,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,0,6,32
248,M,17,U,LE3,T,1,1,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,2,3,24
249,F,17,U,LE3,T,4,2,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,6,2,39
250,M,19,U,LE3,A,4,3,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,1,12,2,33
251,M,18,U,GT3,T,2,1,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,4,8,3,43
252,F,17,U,LE3,T,2,2,course,father,1,4,0,no,no,yes,yes,yes,yes,yes,yes,3,4,1,0,2,19
253,F,18,U,GT3,T,4,3,home,father,1,2,0,no,yes,yes,no,yes,yes,yes,yes,3,1,2,21,4,53
254,M,18,U,GT3,T,4,3,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,2,2,24
255,M,18,R,GT3,T,3,2,course,mother,1,3,0,no,no,no,yes,no,yes,no,no,5,3,2,1,2,37
256,F,17,U,GT3,T,3,3,home,mother,1,3,0,no,no,no,yes,no,yes,no,no,3,2,3,4,2,28
257,F,18,U,GT3,T,2,2,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,0,2,19
258,M,18,R,LE3,A,3,4,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,13,7,51
259,M,17,U,GT3,T,3,1,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,4,4,2,7,28
260,F,18,R,GT3,T,4,4,reputation,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,8,4,33
261,M,18,U,GT3,T,4,2,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,10,4,29
262,F,18,R,GT3,T,2,1,reputation,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4,3,5,0,3,6
263,F,19,U,GT3,T,3,3,home,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,15,6,27
264,F,18,U,GT3,T,2,3,reputation,father,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,4,5,5,4,4,43
265,F,18,U,LE3,T,1,1,home,mother,2,2,0,no,yes,yes,no,no,yes,no,no,4,4,3,2,2,33
266,M,17,R,GT3,T,1,2,home,mother,1,2,0,no,yes,yes,yes,no,yes,no,yes,3,5,2,2,4,43
267,F,17,U,GT3,T,2,4,reputation,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,2,2,30
268,F,17,U,LE3,T,2,2,course,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,4,6,5,36
269,M,18,U,GT3,T,4,4,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,3,2,4,22,5,27
270,F,18,U,GT3,T,4,4,reputation,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,15,2,25
271,M,18,U,LE3,T,4,3,course,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,8,3,31
272,M,17,U,LE3,A,3,2,home,mother,1,1,1,no,no,no,no,yes,yes,yes,no,4,4,4,19,7,30
273,F,18,R,LE3,T,1,1,reputation,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5,2,2,1,2,36
274,F,18,U,GT3,T,1,1,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,4,4,2,27
275,F,17,U,GT3,T,2,2,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,5,4,3,30
276,M,17,U,GT3,T,1,1,reputation,father,1,2,0,no,no,yes,no,no,yes,yes,no,4,3,3,2,3,33
277,F,18,U,GT3,T,2,2,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,5,3,55
278,F,17,U,GT3,T,1,1,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,6,2,37
279,M,18,U,GT3,T,2,1,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,4,6,4,43
280,M,18,U,LE3,A,4,4,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,3,9,2,43
281,M,18,U,GT3,T,4,2,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,11,5,34
282,F,17,U,GT3,T,4,3,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,0,3,45
283,F,18,U,LE3,T,2,1,reputation,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,5,4,3,12,2,37
284,F,17,R,LE3,T,3,1,reputation,mother,2,4,0,no,yes,yes,no,yes,yes,no,no,3,1,2,6,2,54
285,M,18,R,LE3,T,3,2,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,8,2,41
286,M,17,U,GT3,T,3,3,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,4,4,37
287,F,19,U,GT3,T,4,4,reputation,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,2,3,4,0,5,19
288,F,18,U,LE3,T,4,3,home,other,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,5,10,3,26
289,F,18,U,GT3,T,4,3,reputation,father,1,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,0,2,41
290,M,18,U,LE3,T,4,4,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,1,4,2,5,4,47
291,F,18,U,LE3,A,4,4,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,4,14,2,33
292,M,17,U,LE3,T,4,4,home,father,2,1,0,no,no,yes,no,yes,yes,yes,no,4,1,1,0,4,32
293,F,17,U,GT3,T,4,2,reputation,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,0,2,41
294,F,17,U,GT3,T,3,2,reputation,father,1,4,0,no,yes,yes,yes,no,yes,yes,no,5,2,2,0,3,52
295,M,19,U,GT3,T,3,3,home,other,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,4,4,20,2,42
296,F,18,U,GT3,T,2,4,reputation,other,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,3,8,2,38
297,M,19,R,GT3,T,3,3,reputation,father,1,2,1,no,no,no,yes,yes,yes,no,yes,4,5,3,0,3,39
298,F,19,U,LE3,T,1,1,reputation,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,18,4,32
299,F,19,U,LE3,T,1,2,home,other,1,2,1,no,no,no,yes,no,yes,no,yes,4,2,4,0,4,18
300,F,19,U,GT3,T,2,1,other,other,3,2,0,no,yes,no,no,yes,no,yes,yes,3,4,1,20,2,39
301,M,19,U,GT3,T,1,2,course,other,1,2,1,no,no,no,no,no,yes,yes,no,4,5,2,3,4,35
302,F,19,U,LE3,T,3,2,reputation,other,2,2,1,no,yes,yes,no,no,yes,yes,yes,4,2,2,22,3,34
303,F,19,U,GT3,T,1,1,home,other,1,3,2,no,no,no,no,no,yes,yes,yes,4,1,2,14,2,41
304,F,18,U,GT3,T,2,1,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,0,3,16
305,F,18,U,GT3,T,4,3,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,9,2,28
306,F,17,R,GT3,T,3,4,course,father,1,3,0,no,yes,yes,yes,no,yes,yes,no,4,3,4,0,7,32
307,F,18,U,GT3,T,4,4,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,2,6,33
308,F,17,U,GT3,T,2,2,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,2,2,12,2,29
309,F,17,R,LE3,T,2,2,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,3,4,33
310,F,17,U,GT3,T,3,1,course,father,1,3,0,no,yes,no,no,no,yes,yes,no,3,4,3,1,5,41
311,F,17,U,LE3,T,0,2,home,father,2,3,0,no,no,no,no,yes,yes,yes,no,3,3,3,0,5,46
312,M,18,U,GT3,T,4,4,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,3,4,32
313,M,17,U,GT3,T,3,3,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4,3,5,3,8,45
314,M,17,R,GT3,T,2,2,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,8,10,31
315,F,17,U,GT3,T,4,4,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,7,4,28
316,F,17,U,GT3,T,4,4,course,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,4,3,3,4,3,42
317,M,18,U,LE3,T,2,2,course,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,2,6,25
318,F,17,R,GT3,T,2,4,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,7,2,40
319,F,18,U,GT3,T,3,3,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,0,2,7
320,F,18,U,LE3,T,2,2,home,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,0,2,16
321,F,18,R,GT3,T,2,2,course,mother,2,4,0,no,no,no,yes,yes,yes,no,no,4,4,4,0,2,19
322,F,17,U,GT3,T,3,4,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4,4,5,16,4,46
323,F,19,R,GT3,A,3,1,home,other,1,3,1,no,no,yes,no,yes,yes,no,no,5,4,3,12,3,40
324,F,17,U,GT3,T,3,2,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,0,5,15
325,F,18,U,LE3,T,3,3,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5,3,3,7,2,48
326,F,17,R,GT3,A,3,2,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,4,5,29
327,F,19,U,GT3,T,2,1,home,other,1,3,1,no,no,yes,yes,yes,yes,yes,yes,4,3,4,4,4,34
328,M,18,U,GT3,T,4,4,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,3,3,0,4,20
329,M,18,U,LE3,T,3,4,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,11,4,46
330,F,17,U,GT3,A,2,2,home,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,3,3,1,0,3,17
331,F,18,U,GT3,T,2,3,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,4,3,31
332,F,18,U,GT3,T,3,2,other,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,3,7,5,40
333,M,18,R,GT3,T,4,3,course,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,3,2,9,3,47
334,M,18,U,GT3,T,4,3,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5,4,5,0,5,29
335,F,17,U,GT3,T,4,3,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,0,4,43
336,M,18,R,GT3,T,3,2,course,mother,2,1,1,no,yes,no,no,no,yes,yes,no,2,5,5,10,10,37
337,M,19,R,GT3,T,1,1,home,other,3,2,3,no,no,no,no,yes,yes,yes,no,5,4,4,8,6,23
338,M,17,U,GT3,T,3,3,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,4,2,5,39
339,M,18,U,LE3,T,1,3,course,mother,1,1,1,no,no,no,no,yes,no,yes,yes,4,3,3,7,5,23
340,M,19,R,GT3,T,1,1,home,other,3,1,1,no,yes,no,no,yes,yes,yes,no,4,4,4,4,6,24
341,M,17,R,GT3,T,4,3,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,yes,4,5,5,4,4,35
342,F,18,U,GT3,T,3,3,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,0,2,28
343,F,17,R,GT3,T,4,4,other,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,4,3,38
344,F,17,U,LE3,A,3,2,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1,2,3,2,3,35
345,M,18,U,LE3,T,1,1,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,4,3,30
346,F,18,U,LE3,T,1,1,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,0,2,50
347,F,18,R,LE3,A,1,4,course,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,4,0,5,39
348,M,18,R,LE3,T,1,1,other,mother,2,2,1,no,no,no,yes,no,no,no,no,4,4,3,2,5,37
349,F,18,U,GT3,T,3,3,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,0,4,32
350,F,17,U,LE3,T,4,4,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,2,3,4,0,2,46
351,F,17,R,GT3,T,1,2,course,father,2,2,0,no,no,no,no,no,yes,no,no,3,2,2,0,3,35
352,M,18,R,GT3,T,1,3,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,4,6,30
353,M,18,U,LE3,T,4,4,other,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4,2,2,0,4,39
354,F,17,R,GT3,T,1,1,reputation,mother,3,1,1,no,yes,yes,no,yes,yes,yes,yes,5,2,1,0,3,13
355,F,18,U,GT3,T,2,3,course,father,2,1,0,no,yes,yes,no,yes,yes,yes,yes,5,2,3,0,3,31
356,F,18,R,GT3,T,4,4,other,father,3,2,0,no,yes,yes,no,no,yes,yes,yes,3,2,2,10,6,37
357,F,19,U,LE3,T,3,2,home,other,2,2,2,no,no,no,yes,yes,yes,no,yes,3,2,2,4,2,23
358,M,18,R,LE3,T,1,2,other,father,3,1,0,no,yes,yes,yes,yes,no,yes,yes,4,3,3,3,5,38
359,F,17,U,GT3,T,2,2,home,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3,4,3,8,2,35
360,F,17,R,GT3,T,1,2,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,14,4,16
361,F,18,R,LE3,T,4,4,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5,4,4,0,2,56
362,F,18,R,GT3,T,1,1,home,mother,4,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,2,3,26
363,F,18,R,LE3,T,4,4,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,4,3,4,7,27
364,F,18,U,GT3,T,3,3,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,1,3,0,3,45
365,F,17,R,GT3,T,3,1,reputation,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,5,4,17,5,30
366,M,18,U,GT3,T,4,4,home,father,1,2,0,no,no,yes,yes,no,yes,yes,no,3,2,4,4,5,43
367,M,18,R,GT3,T,2,1,other,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4,4,3,5,4,20
368,M,17,U,GT3,T,2,3,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,2,2,32
369,M,19,R,GT3,T,1,1,other,mother,2,1,1,no,no,no,no,yes,yes,no,no,4,3,2,0,4,11
370,M,18,R,GT3,T,4,2,home,father,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,14,7,16
371,F,18,R,GT3,T,2,2,other,mother,2,3,0,no,no,yes,no,yes,yes,no,no,5,3,3,2,4,29
372,F,18,R,GT3,T,4,4,reputation,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,7,4,17
373,F,19,R,GT3,T,2,3,course,mother,1,3,1,no,no,no,yes,no,yes,yes,no,5,4,2,0,3,12
374,F,18,U,LE3,T,3,1,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,0,2,24
375,F,18,U,GT3,T,1,1,course,mother,2,2,1,no,no,no,yes,yes,yes,no,no,1,1,1,0,2,11
376,M,17,U,LE3,T,3,1,course,mother,2,1,0,no,no,no,no,no,yes,yes,no,2,4,5,3,7,46
377,M,18,R,LE3,T,3,2,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,0,7,33
378,M,19,U,LE3,T,1,1,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,3,5,6,26
379,F,18,U,GT3,A,4,4,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,4,2,22
380,F,17,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,2,2,31
381,F,15,U,LE3,T,1,1,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,6,5,37
382,F,15,U,GT3,T,4,2,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,0,2,42
383,F,16,U,GT3,T,3,3,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,0,3,37
384,M,16,U,LE3,T,4,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,6,3,37
385,M,16,U,LE3,T,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,0,2,38
386,F,17,U,GT3,A,4,4,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,2,2,36
387,M,15,U,LE3,A,3,2,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,0,2,48
388,M,15,U,GT3,T,3,4,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,0,2,37
389,F,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,2,3,42
390,F,15,U,GT3,T,2,1,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,0,2,35
391,M,15,U,LE3,T,4,4,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,0,4,37
392,M,15,U,GT3,T,4,3,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,0,3,37
393,M,15,U,GT3,A,2,2,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,0,2,43
394,F,16,U,GT3,T,4,4,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,6,3,51
395,F,16,U,GT3,T,4,4,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,10,3,40
396,F,16,U,GT3,T,3,3,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,2,2,41
397,M,17,U,GT3,T,3,2,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,6,23
398,M,16,U,LE3,T,4,3,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,6,4,36
399,M,15,U,GT3,T,4,3,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,0,2,39
400,M,15,U,GT3,T,4,4,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,0,2,35
401,M,16,U,LE3,T,4,2,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,0,4,39
402,M,16,U,LE3,T,2,2,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,6,30
403,F,15,R,GT3,T,2,4,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,2,2,31
404,F,16,U,GT3,T,2,2,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,6,4,33
405,M,15,U,GT3,T,2,2,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,8,3,35
406,M,15,U,GT3,T,4,2,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,0,6,33
407,M,16,U,LE3,A,3,4,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,2,2,37
408,M,16,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,4,10,35
409,M,15,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,0,7,32
410,M,15,U,GT3,T,4,4,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,2,2,45
411,M,15,R,GT3,T,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,0,2,42
412,M,15,U,LE3,T,3,3,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,0,2,37
413,M,16,U,GT3,T,3,2,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,4,2,36
414,F,15,U,GT3,T,2,3,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,4,2,33
415,M,15,U,LE3,T,4,3,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,0,2,42
416,M,16,R,GT3,A,4,4,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,4,2,39
417,F,15,R,GT3,T,3,4,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,2,2,35
418,F,15,R,GT3,T,2,2,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,8,2,39
419,F,16,U,LE3,T,2,2,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,16,3,32
420,M,15,U,LE3,T,4,4,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,8,6,32
421,M,15,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,0,2,44
422,M,15,U,GT3,T,2,2,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,0,2,29
423,F,16,U,LE3,T,2,2,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,14,4,32
424,F,15,U,LE3,A,4,3,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,4,2,32
425,F,16,U,LE3,A,3,3,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,6,5,38
426,M,16,U,GT3,T,4,3,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,2,2,51
427,M,15,U,GT3,T,4,2,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,4,4,36
428,F,15,U,GT3,T,4,4,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,2,2,37
429,F,16,U,LE3,T,2,2,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,5,40
430,F,15,U,LE3,T,4,2,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,2,46
431,M,15,U,LE3,A,4,2,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,4,7,28
432,F,15,U,GT3,T,4,4,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,0,5,37
433,F,15,U,LE3,A,3,3,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,0,8,38
434,F,16,U,GT3,A,2,1,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,2,2,37
435,F,15,U,GT3,A,4,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,0,2,44
436,M,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,8,2,46
437,M,15,U,LE3,T,1,2,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,0,2,41
438,F,16,U,GT3,T,4,2,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,2,2,47
439,F,16,R,GT3,T,4,4,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,0,5,49
440,F,16,U,GT3,T,1,1,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,0,10,36
441,F,16,U,LE3,T,1,2,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,0,2,36
442,F,16,U,GT3,T,4,3,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,0,6,40
443,F,15,U,LE3,T,4,3,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,0,6,37
444,F,16,U,LE3,T,4,3,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,2,3,47
445,M,15,U,GT3,A,4,4,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,0,10,35
446,F,16,U,GT3,T,3,1,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,0,3,29
